objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,panam_tokyotosf_01.jpeg,,,"The President Special, Tokyo to San Francisco",Pan American World Airways,1966,,airlines;menu,"Tokyo, Japan",35.68716359,139.604351,"Northwestern University, Transportation Library","TL017, PAWA047",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll002,panam_tokyotosf_02.jpeg,,,Tokyo to San Francisco,Pan American World Airways,1966,,airlines;menu,"Tokyo, Japan",,,"Northwestern University, Transportation Library","TL017, PAWA047",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll003,panam_tokyotosf_03.jpeg,,,Tokyo to San Francisco,Pan American World Airways,1966,"This map was included in Panam’s menu for a on a flight going from Tokyo to San Francisco in 1966. The map appeared after a menu for “Petit Déjeuner” for this flight. Carefully take in the details that the creators included. What people and places does it display? Thinking back to the other maps we have analyzed in this class, how does this map compare? Why might have this map been included on a breakfast menu for a flight?",airlines;menu;maps,"Tokyo, Japan",,,"Northwestern University, Transportation Library","TL017, PAWA047",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll004,united_bostontosf_1969_01.jpeg,,,"Royal Hawaiian, Boston to San Francisco",United Airlines,1969-06-19,"This menu was served during a United Airlines flight from Boston to San Francisco on June 19th, 1969. Though the flight went nowhere near Hawai’i, the menu was nominally themed around Hawai’i. It opened with the title, “Royal Hawaiian,” and included words in ʻŌlelo Hawaiʻi. Carefully examine each of the pages, noting the text, menu items, images. Do you notice anything interesting or surprising? Given what you know about the history of Hawai’i and the United States, and tourism and travel in this period, who might have been the audience for this menu? What ideas did the creators convey, intentionally or unintentionally?",airlines;menu;Hawai'i;images,"Boston, Massachusetts",42.33964663,-71.05475081,"Northwestern University, Transportation Library","UA061, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll005,united_bostontosf_1969_02.jpeg,,,"Royal Hawaiian, Boston to San Francisco",United Airlines,1969-06-19,,airlines;menu;Hawai'i,"Boston, Massachusetts",,,"Northwestern University, Transportation Library","UA061, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll006,united_bostontosf_1969_03.jpeg,,,"Royal Hawaiian, Boston to San Francisco",United Airlines,1969-06-19,,airlines;menu;Hawai'i,"Boston, Massachusetts",,,"Northwestern University, Transportation Library","UA061, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll007,united_bostontosf_1969_04.jpeg,,,"Royal Hawaiian, Boston to San Francisco",United Airlines,1969-06-19,,airlines;menu;Hawai'i,"Boston, Massachusetts",,,"Northwestern University, Transportation Library","UA061, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll008,manialtohongkong_1978_01.jpeg,,,"Cover, Fiesta Service, Manila to Hong Kong",Philippine Airlines,1978-12-19,"The cover of this menu includes an image of an aquatic sponge found in the oceans of the Philippines. On this page, the inside cover, the menu included a description and explanation of that image. What might this tell us about airline menus and their purpose? Were they meant to educate people about the places they were going to visit? Why or why not? In this respect, were they similar or different from other tourism ephemera, like travel brochures?",airlines;menu;images,"Manila, Philippines",14.60147925,120.981104,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll009,manialtohongkong_1978_02.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Manila, Philippines",,,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll010,manialtohongkong_1978_03.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Manila, Philippines",,,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll011,manialtohongkong_1978_04.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Manila, Philippines",,,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll012,manialtohongkong_1978_05.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Manila, Philippines",,,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll013,manialtohongkong_1978_06.jpeg,,,"Manila to Hong Kong, Fiesta Service",Philippine Airlines,1978-12-19,,airlines;menu,"Manila, Philippines",,,"Northwestern University, Transportation Library","TL017, PA001",Image;StillImage,image/jpeg,"eng, chi, jpn","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll014,united_oceantoocean_sftodulles_1979_01.jpeg,,,"United, Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,"When laid flat, the front and back of this menu from United creates a completed map of the United States. What might have the creators hoped to convey with this set up? Examine the content of the menu on the other pages. How does the text, menu items, and other images relate to the layout of the front and back covers?",airlines;menu;maps,"San Francisco, California",37.75170739,-122.4310794,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll015,united_oceantoocean_sftodulles_1979_02.jpeg,,,"Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,,airlines;menu,"San Francisco, California",,,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll016,united_oceantoocean_sftodulles_1979_03.jpeg,,,"Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,,airlines;menu,"San Francisco, California",,,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll017,united_oceantoocean_sftodulles_1979_04.jpeg,,,"Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,,airlines;menu,"San Francisco, California",,,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll018,united_oceantoocean_sftodulles_1979_05.jpeg,,,"Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,,airlines;menu,"San Francisco, California",,,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll019,united_oceantoocean_sftodulles_1979_06.jpeg,,,"Ocean to Ocean Service, San Francisco to Washington, D.C.",United Airlines,1979-01-26,,airlines;menu;maps,"San Francisco, California",,,"Northwestern University, Transportation Library","UA070, TL017",Image;StillImage,image/jpeg,eng,"The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
coll020,panam_aucklandtohonolulu_1984_01.jpeg,,,"Pan American World Airways, Auckland to Honolulu",Pan American World Airways,1984-04-02,,airlines;menu;Hawai'i;images,"Auckland, New Zealand",-36.86497413,174.7802379,"Northwestern University, Transportation Library","TL017, PAWA027",Image;StillImage,image/jpeg,"eng, fre","The images on this web site are from material in the collections of the Transportation Library of Northwestern University Libraries, are provided for use by its students, faculty and staff, and by other researchers visiting this site, for research consultation and scholarly purposes only. Further distribution and/or any commercial use of the images from this site is not permitted.",
